_id,bus_no,dest,platform
1,87,"MAGADI ROAD, PRASANNA, PIPELINE ROAD",1
2,87A,"MAGADI ROAD, PRASANNA, PIPELINE ROAD, RAILWAY GATE",1
3,87B,"MAGADI ROAD, PRASANNA, PIPELINE ROAD, INCOME TAX, GANGONDANAHALLI",1
4,61,"MAGADI ROAD, PRASANNA",2
5,61A,"SUJATHA, 6TH BLOCK, PRASANNA, VIJAYANAGAR, INCOME TAX",2
6,61B,"MAGADI ROAD, PRASANNA, VIJAYANAGAR",2
7,61C,"SUJATHA, 6TH BLOCK, PRASANNA, VIJAYANAGAR, ATTIGUPPE",2
8,61E,"SUJATHA, 6TH BLOCK, PRASANNA, VIJAYANAGAR, MARUTHI MANDIR",2
9,61F,"SUJATHA, 6TH BLOCK, PRASANNA, VIJAYANAGAR",2
10,61G,"SUJATHA, PRASANNA, VIJAYANAGAR, INCOME TAX",2
11,61G,"SUJATHA, 6TH BLOCK, PRASANNA, VIJAYANAGAR, INCOME TAX, CHANDRA LAYOUT",2
12,61M,"SUJATHA, 6TH BLOCK, PRASANNA, VIJAYANAGAR, INCOME TAX, CHANDRA LAYOUT",2
13,235B,"MAGADI ROAD, PRASANNA, VIJAYANAGAR, MUDALAPALYA, NAGARBHAVI CIRCLE, MARIYAPPANAPALYA",3
14,235D,"MAGADI ROAD, PRASANNA, VIJAYANAGAR, MUDALAPALYA, NAGARBHAVI CIRCLE, RAMASANDRA",3
15,235F,"SUJATHA 6TH BLOCK, PRASANNA, VIJAYANAGAR, MUDALAPALYA, NAGARBHAVI CIRCLE, GANDHIBAVANA",3
16,235K,"MAGADI ROAD, PRASANNA, VIJAYANAGAR, MUDALAPALYA, NAGARBHAVI CIRCLE, SONNENAHALLI",3
17,235P,"MAGADI ROAD, PRASANNA, VIJAYANAGAR, MUDALAPALYA, NAGARBHAVI CIRCLE, SONNENAHALLI, DODDABASTI",3
18,235Q,"MAGADI ROAD, PRASANNA, VIJAYANAGAR, MUDALAPALYA, BUC, ADM OFFICE, SONNENAHALLI",3
19,238,"MAGADI ROAD, PRASANNA, VIJAYANAGAR, MUDALAPALYA, NAGARBHAVI CIRCLE",3
20,238A,"MAGADI ROAD, PRASANNA, VIJAYANAGAR, INCOME TAX, CHANDRA LAYOUT, NAGARBHAVI CIRCLE",3
