_id,bus_no,dest,platform
1,87,HAMPINAGAR R.P.C. LAYOUT,1
2,87A,HAMPINAGAR R.P.C. LAYOUT,1
3,87B,GANGONDANAHALLI,1
4,87C,HAMPINAGAR R.P.C. LAYOUT,1
5,61,VIJAYANAGAR TTMC,2
6,61A,CHANDRA LAYOUT,2
7,61C,BCC LAYOUT,2
8,61E,VIJAYANAGAR TTMC,2
9,61F,GKW LAYOUT,2
10,61G,CHANDRA LAYOUT,2
11,61J,CHANDRA LAYOUT 1ST STAGE,2
12,61M,VIDYAGIRI BADAVANE,2
13,238,NRUPATHUNGA NAGAR,3A
14,238A,NAGARBHAVI 1ST BLOCK,3A
15,238C,BANDEMARAMMA BUS STAND,3A
16,238L,NRUPATHUNGA NAGAR,3A
17,238U,BANGALORE UNIVERSITY ADM OFFICE,3A
18,238V,DR. AMBEDKAR INSTITUTE OF TECHNOLOGY,3A
19,238W,NARASAPURA,3A
20,238ZA,ULLALA UPANAGAR,3A
21,223P,UPKAR RESIDENCY,3A
22,223PA,UPKAR RESIDENCY,3A
23,234C,MANGANAHALLI,3A
24,238UC,M VISWESHWARAYA LYT (MALLATHAHALLI KERE),3A
25,240D,SUNKADAKATTE,4
26,240H,G HOSAHALLI,4
27,240R,KACHOHALLI,4
28,241B,KENCHANAPURA,4
29,241CB,YALEKODIGEHALLI,4
30,241H,MAHADESHWARA NAGARA (NAGARAHOLE NAGARA),4
31,244H,NAGARABHAVI 11TH BLOCK,4
32,246,ANNAPOORNESHWARI NAGAR,4
33,240DA,KOTTIGEPALAYA,4
34,244C,NAGARABHAVI 10TH BLOCK,4
35,244F,D' GROUP LAYOUT,4
36,243L,LINGADEERANAHALLI,4A
37,245A,SONDEKOPPA,4A
38,245GA,KADABAGERE,4A
39,245J,KITTANAHALLI,4A
40,245K,AVERAHALLI,4A
41,245M,VADDARAHALLI TRAINING SCHOOL,4A
42,245MA,KAMMASANDRA,4A
43,245Q,BETTANAHALLI,4A
44,G7,JANAPRIYA TOWNSHIP,4A
45,248J,HESARAGHATTA,4B
46,265,RING ROUTE,4B
47,265B,THIGALARA PALYA,4B
48,265D,VIGNESHWARA NAGAR,4B
49,265E,MATHAHALLI,4B
