SL No.,Platform,Bus Route,Starting From,Destination
1,1,87,Kempegowda Bus Stand,HAMPINAGAR R.P.C. LAYOUT
2,1,87A,Kempegowda Bus Stand,HAMPINAGAR R.P.C. LAYOUT
3,1,87B,Kempegowda Bus Stand,GANGONDANAHALLI
4,1,87C,,HAMPINAGAR R.P.C. LAYOUT
5,2,61,Kempegowda Bus Stand,VIJAYANAGAR TTMC
6,2,61A,Kempegowda Bus Stand,CHANDRA LAYOUT
7,2,61C,Kempegowda Bus Stand,BCC LAYOUT
8,2,61E,Kempegowda Bus Stand,VIJAYANAGAR TTMC
9,2,61F,Kempegowda Bus Stand,GKW LAYOUT
10,2,61G,Kempegowda Bus Stand,CHANDRA LAYOUT
11,2,61J,Kempegowda Bus Stand,CHANDRA LAYOUT 1ST STAGE
12,2,61M,Kempegowda Bus Stand,VIDYAGIRI BADAVANE
13,3A,238,Kempegowda Bus Stand,NRUPATHUNGA NAGAR
14,3A,238A,Kempegowda Bus Stand,NAGARBHAVI 1ST BLOCK
15,3A,238C,Kempegowda Bus Stand,BANDEMARAMMA BUS STAND
16,3A,238L,Kempegowda Bus Stand,NRUPATHUNGA NAGAR
17,3A,238U,Kempegowda Bus Stand,BANGALORE UNIVERSITY ADM OFFICE
18,3A,238V,Kempegowda Bus Stand,DR. AMBEDKAR INSTITUTE OF TECHNOLOGY
19,3A,238W,Kempegowda Bus Stand,NARASAPURA
20,3A,238ZA,Kempegowda Bus Stand,ULLALA UPANAGAR
21,3A,223P,Kempegowda Bus Stand,UPKAR RESIDENCY
22,3A,223PA,Kempegowda Bus Stand,UPKAR RESIDENCY
23,3A,234C,,MANGANAHALLI
24,3A,238UC,,M VISWESHWARAYA LYT (MALLATHAHALLI KERE)
25,4,240D,Kempegowda Bus Stand,SUNKADAKATTE
26,4,240H,Kempegowda Bus Stand,G HOSAHALLI
27,4,240R,Kempegowda Bus Stand,KACHOHALLI
28,4,241B,Kempegowda Bus Stand,KENCHANAPURA
29,4,241CB,Kempegowda Bus Stand,YALEKODIGEHALLI
30,4,241H,Kempegowda Bus Stand,MAHADESHWARA NAGARA (NAGARAHOLE NAGARA)
31,4,244H,Kempegowda Bus Stand,NAGARABHAVI 11TH BLOCK
32,4,246,Kempegowda Bus Stand,ANNAPOORNESHWARI NAGAR
33,4,240DA,,KOTTIGEPALAYA
34,4,244C,,NAGARABHAVI 10TH BLOCK
35,4,244F,,D' GROUP LAYOUT
36,4A,243L,Kempegowda Bus Stand,LINGADEERANAHALLI
37,4A,245A,Kempegowda Bus Stand,SONDEKOPPA
38,4A,245GA,Kempegowda Bus Stand,KADABAGERE
39,4A,245J,Kempegowda Bus Stand,KITTANAHALLI
40,4A,245K,Kempegowda Bus Stand,AVERAHALLI
41,4A,245M,Kempegowda Bus Stand,VADDARAHALLI TRAINING SCHOOL
42,4A,245MA,Kempegowda Bus Stand,KAMMASANDRA
43,4A,245Q,Kempegowda Bus Stand,BETTANAHALLI
44,4A,G7,Kempegowda Bus Stand,JANAPRIYA TOWNSHIP
45,4B,248J,,HESARAGHATTA
46,4B,265,,RING ROUTE
47,4B,265B,,THIGALARA PALYA
48,4B,265D,,VIGNESHWARA NAGAR
49,4B,265E,,MATHAHALLI
50,4B,265F,,PEENYA 2ND STAGE
51,4B,275B,,RING ROUTE
52,5,88,Kempegowda Bus Stand,BASAVESHWARANAGAR
53,5,88A,Kempegowda Bus Stand,BASAVESHWARANAGAR 3RD STAGE
54,5,96,Kempegowda Bus Stand,RING ROUTE
55,5,96A,Kempegowda Bus Stand,RING ROUTE
56,5,96B,Kempegowda Bus Stand,KAMALANAGAR B.E.M.L LAYOUT
57,5,96C,Kempegowda Bus Stand,KAMALANAGAR
58,5,96E,Kempegowda Bus Stand,KAMALANAGAR B.E.M.L LAYOUT
59,5,96G,Kempegowda Bus Stand,SHANKARNAG BUS STAND
60,5,96H,Kempegowda Bus Stand,SHANKARNAG BUS STAND
61,6,89A,Kempegowda Bus Stand,KAVERI NAGAR
62,6,89B,Kempegowda Bus Stand,GELAYARA BALAGA
63,6,89C,Kempegowda Bus Stand,KAVERI NAGAR
64,6,89D,Kempegowda Bus Stand,KURUBARAHALLI (J.C NAGAR)
65,6,89E,Kempegowda Bus Stand,KAVERI NAGAR
66,6,89F,Kempegowda Bus Stand,GELEYARA BALAGA (VIA BHOVI PALYA)
67,6A,78A,Kempegowda Bus Stand,ISKCON TEMPLE
68,6A,78E,Kempegowda Bus Stand,YESHVANTHPURA RAILWAY STATION
69,6A,80A,Kempegowda Bus Stand,NANDINI LAYOUT
70,6A,80B,Kempegowda Bus Stand,JAI MARUTHI NAGAR
71,6A,80D,Kempegowda Bus Stand,JAI MARUTHI NAGAR
72,6A,80F,Kempegowda Bus Stand,JAI BHUVNESWARI NAGAR
73,6A,80K,Kempegowda Bus Stand,SAKAMMA LAYOUT
74,7,80,Kempegowda Bus Stand,MAHALAKSHMI LAYOUT
75,7,80E,Kempegowda Bus Stand,KRISHNANANDA NAGAR
76,7,80G,Kempegowda Bus Stand,LAGERE
77,7,80R,Kempegowda Bus Stand,DR. RAJKUMAR PUNYA BHOOMI
78,7,252F,Kempegowda Bus Stand,PEENYA 2ND STAGE
79,7,252FC,Kempegowda Bus Stand,THIGALARA PALYA
80,7,252H,Kempegowda Bus Stand,RAJIV GANDHI NAGAR
81,7,264,Kempegowda Bus Stand,RING ROUTE
82,8,31,,N.R COLONY
83,8,210J,,CHIKKALLASANDRA (RAMANJANEYA LAYOUT)
84,8,210KA,,CHIKKALLASANDRA
85,8,210N,,UTTARAHALLI
86,8,210NA,,POORNAPRAGNA LAYOUT
87,8,210NB,,BANASHANKARI 5ND STAGE
88,8,210ND,,BANASHANKARI 5ND STAGE (PATALAMMA TEMPLE)
89,8,210NH,,UTTARAHALLI
90,8,210NP,,POORNAPRAGNA LAYOUT
91,8,210P,,CHIKKALLASANDRA
92,8,210W,,KARIYANA PALYA
93,8,210WA,,TURAHALLI
94,8A,45E,Kempegowda Bus Stand,CHANNAMANNAKERE ACHUKATTU
95,8A,45F,Kempegowda Bus Stand,CHANNAMANNAKERE ACHUKATTU
96,8A,V-45G,Kempegowda Bus Stand,CHANNAMANNAKERE ACHUKATTU
97,8A,45G,,CHANNAMANNAKERE ACHUKATTU
98,8A,46,,KORAMANGALA
